title,artist,area,youtube_link,spotify_link,release_date,youtube_view_count,youtube_like_count,tag,duration,popularity,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,loudness,tempo
Come to Life,Almost Human,EU,,,,,,,,,,,,,,,,,
Hello,Almost Human,EU,,,,,,,,,,,,,,,,,
Mechanize,Almost Human,EU,,,,,,,,,,,,,,,,,
Robot Factory,Almost Human,EU,,,,,,,,,,,,,,,,,
Undone,Almost Human,EU,,,,,,,,,,,,,,,,,
Life to Come,Almost Human,EU,,,,,,,,,,,,,,,,,
Torn Apart,Almost Human,EU,,,,,,,,,,,,,,,,,
Living Wreck,Almost Human,EU,,,,,,,,,,,,,,,,,
Style,Almost Human,EU,,,,,,,,,,,,,,,,,
Normosis,Almost Human,EU,,,,,,,,,,,,,,,,,
Flesh & Bone,Almost Human,EU,,,,,,,,,,,,,,,,,
Introduction - Gear Stripping,Almost Human,EU,,,,,,,,,,,,,,,,,
Stripping the Madness,Almost Human,EU,,,,,,,,,,,,,,,,,
Flowers,Almost Human,EU,,,,,,,,,,,,,,,,,
Under the Skin,Almost Human,EU,,,,,,,,,,,,,,,,,
"Obey, Consume Or Disappear",Almost Human,EU,,,,,,,,,,,,,,,,,
Carnival of Machines,Almost Human,EU,,,,,,,,,,,,,,,,,
Almost Human,Almost Human,EU,,,,,,,,,,,,,,,,,
"Blood, Rust & Oil",Almost Human,EU,,,,,,,,,,,,,,,,,
The Wake-Up Call,Almost Human,EU,,,,,,,,,,,,,,,,,
Hold on,Almost Human,EU,,,,,,,,,,,,,,,,,
Sick,Almost Human,EU,,,,,,,,,,,,,,,,,
"Blood, Rust and Oil",Almost Human,EU,,,,,,,,,,,,,,,,,
Kiss 2000 Man,Almost Human,EU,,,,,,,,,,,,,,,,,
Do Or Die,Almost Human,EU,,,,,,,,,,,,,,,,,
Break These Walls,Almost Human,EU,,,,,,,,,,,,,,,,,
Eulogy,Almost Human,EU,,,,,,,,,,,,,,,,,
Silent Tunes,Almost Human,EU,,,,,,,,,,,,,,,,,
The Norva Song,Almost Human,EU,,,,,,,,,,,,,,,,,
Flesh and Bone,Almost Human,EU,,,,,,,,,,,,,,,,,
Death warmed up,Almost Human,EU,,,,,,,,,,,,,,,,,
Shadows of fear,Almost Human,EU,,,,,,,,,,,,,,,,,
Each of Us,Almost Human,EU,,,,,,,,,,,,,,,,,
Disco Town,Almost Human,EU,,,,,,,,,,,,,,,,,
Pilot,Almost Human,EU,,,,,,,,,,,,,,,,,
Tunesia 90,Almost Human,EU,,,,,,,,,,,,,,,,,
All I Need Is You,Almost Human,EU,,,,,,,,,,,,,,,,,
Nørmøsis,Almost Human,EU,,,,,,,,,,,,,,,,,
Holy Assault,Almost Human,EU,,,,,,,,,,,,,,,,,
Are You Receiving?,Almost Human,EU,,,,,,,,,,,,,,,,,
Gimmie Love,Almost Human,EU,,,,,,,,,,,,,,,,,
Krank It Up,Almost Human,EU,,,,,,,,,,,,,,,,,
Gods Of War,Almost Human,EU,,,,,,,,,,,,,,,,,
Shooting Meteoroid,Almost Human,EU,,,,,,,,,,,,,,,,,
Spit,Almost Human,EU,,,,,,,,,,,,,,,,,
Motion,Almost Human,EU,,,,,,,,,,,,,,,,,
Gods of War (2010),Almost Human,EU,,,,,,,,,,,,,,,,,
Unemployed Hero,Almost Human,EU,,,,,,,,,,,,,,,,,
Schizophrenia,Almost Human,EU,,,,,,,,,,,,,,,,,
Itchy Bitchy,Almost Human,EU,,,,,,,,,,,,,,,,,
Skin,Almost Human,EU,,,,,,,,,,,,,,,,,
No Krime,Almost Human,EU,,,,,,,,,,,,,,,,,
Just Like Holding Hands,Almost Human,EU,,,,,,,,,,,,,,,,,
Pilot Promo,Almost Human,EU,,,,,,,,,,,,,,,,,
Wasted One,Almost Human,EU,,,,,,,,,,,,,,,,,
Johnny the Spliff,Almost Human,EU,,,,,,,,,,,,,,,,,
Walk On The Water,Almost Human,EU,,,,,,,,,,,,,,,,,
Girls Are Out,Almost Human,EU,,,,,,,,,,,,,,,,,
Everywhere,Almost Human,EU,,,,,,,,,,,,,,,,,
You Are Here,Almost Human,EU,,,,,,,,,,,,,,,,,
Unused,Almost Human,EU,,,,,,,,,,,,,,,,,
Love Can Be Unkind,Almost Human,EU,,,,,,,,,,,,,,,,,
We All Belong,Almost Human,EU,,,,,,,,,,,,,,,,,
Karmakazee,Almost Human,EU,,,,,,,,,,,,,,,,,
Pope is Dead,Almost Human,EU,,,,,,,,,,,,,,,,,
Bitch Tales,Almost Human,EU,,,,,,,,,,,,,,,,,
Ride the Light,Almost Human,EU,,,,,,,,,,,,,,,,,
Introduction-Gear Stripping,Almost Human,EU,,,,,,,,,,,,,,,,,
Gucci on My Bag,Almost Human,EU,,,,,,,,,,,,,,,,,
Celebration,Almost Human,EU,,,,,,,,,,,,,,,,,
Unmasked (Almost Human Review Episode #13),Almost Human,EU,,,,,,,,,,,,,,,,,
Ronnie James Dio: The Man On The Silver Mountain (Unofficial Documentary),Almost Human,EU,,,,,,,,,,,,,,,,,
Unbound,Almost Human,EU,,,,,,,,,,,,,,,,,
The Bends,Almost Human,EU,,,,,,,,,,,,,,,,,
Still Remember,Almost Human,EU,,,,,,,,,,,,,,,,,
Sonic Boom  (Almost Human Review Epidose# 24),Almost Human,EU,,,,,,,,,,,,,,,,,
Obey Consume Or Disappear,Almost Human,EU,,,,,,,,,,,,,,,,,
It Was A Dream-CyD,Almost Human,EU,,,,,,,,,,,,,,,,,
We Are Supposed To Be Loved 2,Almost Human,EU,,,,,,,,,,,,,,,,,
Neurofishes,Almost Human,EU,,,,,,,,,,,,,,,,,
Aliens on Vacation,Almost Human,EU,,,,,,,,,,,,,,,,,
Kill In The Name of God,Almost Human,EU,,,,,,,,,,,,,,,,,
Realm of Emptiness,Almost Human,EU,,,,,,,,,,,,,,,,,
So Far So What?,Almost Human,EU,,,,,,,,,,,,,,,,,
The World Misunderstands,Almost Human,EU,,,,,,,,,,,,,,,,,
Cheater,Almost Human,EU,,,,,,,,,,,,,,,,,
Cold Turkey,Almost Human,EU,,,,,,,,,,,,,,,,,
Down and Dirty,Almost Human,EU,,,,,,,,,,,,,,,,,
We Are Supposed To Be Loved 1,Almost Human,EU,,,,,,,,,,,,,,,,,
Beyond This Lie,Almost Human,EU,,,,,,,,,,,,,,,,,
Deep Purple (With lyrics),Almost Human,EU,,,,,,,,,,,,,,,,,
Arrhythmia,Almost Human,EU,,,,,,,,,,,,,,,,,
Pontiac Brothers,Almost Human,EU,,,,,,,,,,,,,,,,,
Deep_Inside-CyD,Almost Human,EU,,,,,,,,,,,,,,,,,
Deep Inside,Almost Human,EU,,,,,,,,,,,,,,,,,
It Was A Dream,Almost Human,EU,,,,,,,,,,,,,,,,,
Best in Show,Almost Human,EU,,,,,,,,,,,,,,,,,
Miss Me,Almost Human,EU,,,,,,,,,,,,,,,,,
surrender,Almost Human,EU,,,,,,,,,,,,,,,,,
Schöner Tag,Almost Human,EU,,,,,,,,,,,,,,,,,
Motherfucker USA,Almost Human,EU,,,,,,,,,,,,,,,,,
Slaughtered by my Hands,Almost Human,EU,,,,,,,,,,,,,,,,,
"Almosthuman Satellite festival sat .goa 17th. AUG ,2019",Almost Human,EU,,,,,,,,,,,,,,,,,
Torso Tango,Almost Human,EU,,,,,,,,,,,,,,,,,
Bleed Bitch,Almost Human,EU,,,,,,,,,,,,,,,,,
Learning by Pain,Almost Human,EU,,,,,,,,,,,,,,,,,
Holy Assault / Religious Overkill,Almost Human,EU,,,,,,,,,,,,,,,,,
Crowned by Incest,Almost Human,EU,,,,,,,,,,,,,,,,,
Falling for You,Almost Human,EU,,,,,,,,,,,,,,,,,
Divine Comedy,Almost Human,EU,,,,,,,,,,,,,,,,,
Mechanical Maniacal,Almost Human,EU,,,,,,,,,,,,,,,,,
